fpc,description,it_ean,sw_ean,cs_ean,pt_ean,cpg,category,brand,optima_lineup,family3,phase_in_date,phase_out_date,predecessor,successor
81529522,PA ABD M5P S5 2x52 JP CEE DCT GYO {CS} [81529522] (4015400736592),4015400736592,0,0,0,r,DPR,BSOD,BSOD Jumbo Pack DCT,BSOD Jumbo Pack DCT,2018.01.01,2019.12.31,,
81555671,PA ABD M6 S3 2x74 JP CEE DCT {CS} [81555671] (4015400736493),4015400736493,0,0,0,r,DPR,BSOD,BSOD Jumbo Pack DCT,BSOD Jumbo Pack DCT,2018.01.01,2019.12.31,,
81555672,PA ABD M6 S3 2x82 JP CEE {CS} [81555672] (4015400265078),4015400265078,0,0,0,r,DPR,BSOD,BSOD Jumbo Pack,BSOD Jumbo Pack,2018.01.01,2019.12.31,,
81555682,PA ABD M6 S4 2x64 JP CEE DCT {CS} [81555682] (4015400736547),4015400736547,0,0,0,r,DPR,BSOD,BSOD Jumbo Pack DCT,BSOD Jumbo Pack DCT,2018.01.01,2019.12.31,,
81555683,PA ABD M6 S4 2x70 JP CEE {CS} [81555683] (4015400244752),4015400244752,0,0,0,r,DPR,BSOD,BSOD Jumbo Pack,BSOD Jumbo Pack,2018.01.01,2019.12.31,,
81555690,PA ABD M6 S4P 2x62 JP CEE {CS} [81555690] (4015400264767),4015400264767,0,0,0,r,DPR,BSOD,BSOD Jumbo Pack,BSOD Jumbo Pack,2018.01.01,2019.12.31,,
81555699,PA ABD M6 S5 3x52 JP CEE DCT {CS} [81555699] (4015400756835),4015400756835,0,0,0,r,DPR,BSOD,BSOD Jumbo Pack DCT,BSOD Jumbo Pack DCT,2018.01.01,2019.12.31,,
81555700,PA ABD M6 S5 2x58 JP CEE {CS} [81555700] (4015400985976),4015400985976,0,0,0,r,DPR,BSOD,BSOD Jumbo Pack,BSOD Jumbo Pack,2018.01.01,2019.12.31,,
81555704,PA ABD M6 S6 2x44 JP CEE DCT {CS} [81555704] (4015400736646),4015400736646,0,0,0,r,DPR,BSOD,BSOD Jumbo Pack DCT,BSOD Jumbo Pack DCT,2018.01.01,2019.12.31,,
81555705,PA ABD M6 S6 2x54 JP CEE {CS} [81555705] (4015400244868),4015400244868,0,0,0,r,DPR,BSOD,BSOD Jumbo Pack,BSOD Jumbo Pack,2018.01.01,2019.12.31,,
81555798,PA ABD M6 S3 2x74 JP CEE DCT GYO {CS} [81555798] (4015400736493),4015400736493,0,0,0,r,DPR,BSOD,BSOD Jumbo Pack DCT,BSOD Jumbo Pack DCT,2018.01.01,2019.12.31,,
81555799,PA ABD M6 S3 2x82 JP CEE GYO {CS} [81555799] (4015400265078),4015400265078,0,0,0,r,DPR,BSOD,BSOD Jumbo Pack,BSOD Jumbo Pack,2018.01.01,2019.12.31,,
81555812,PA ABD M6 S4 2x70 JP CEE GYO {CS} [81555812] (4015400244752),4015400244752,0,0,0,r,DPR,BSOD,BSOD Jumbo Pack,BSOD Jumbo Pack,2018.01.01,2019.12.31,,
81555819,PA ABD M6 S4P 2x62 JP CEE GYO {CS} [81555819] (4015400264767),4015400264767,0,0,0,r,DPR,BSOD,BSOD Jumbo Pack,BSOD Jumbo Pack,2018.01.01,2019.12.31,,
81555838,PA ABD M6 S5 3x52 JP CEE DCT GYO {CS} [81555838] (4015400756835),4015400756835,0,0,0,r,DPR,BSOD,BSOD Jumbo Pack DCT,BSOD Jumbo Pack DCT,2018.01.01,2019.12.31,,
81555839,PA ABD M6 S5 2x58 JP CEE GYO {CS} [81555839] (4015400985976),4015400985976,0,0,0,r,DPR,BSOD,BSOD Jumbo Pack,BSOD Jumbo Pack,2018.01.01,2019.12.31,,
81561945,PA NBD M6 S2 2x80 JP CEE DCT {CS} [81561945] (4015400736448),4015400736448,0,0,0,r,DPR,BSOD,BSOD Jumbo Pack DCT,BSOD Jumbo Pack DCT,2018.01.01,2019.12.31,,
81561954,PA NBD M6 S2 2x94 JP CEE {CS} [81561954] (4015400264606),4015400264606,0,0,0,r,DPR,BSOD,BSOD Jumbo Pack,BSOD Jumbo Pack,2018.01.01,2019.12.31,,
81617894,PA ABD M6 S5 3x58 JP CEE GYO rev {CS} [81617894] (8001090277947),8001090277947,0,0,0,r,DPR,BSOD,BSOD Jumbo Pack,BSOD Jumbo Pack,2018.01.01,2019.12.31,,
81617896,PA ABD M6 S5 3x58 JP CEE rev {CS} [81617896] (8001090277947),8001090277947,0,0,0,r,DPR,BSOD,BSOD Jumbo Pack,BSOD Jumbo Pack,2018.01.01,2019.12.31,,
81617905,PA ABD M6 S4 3x64 JP CEE DCT rev {CS} [81617905] (8001090278036),8001090278036,0,0,0,r,DPR,BSOD,BSOD Jumbo Pack DCT,BSOD Jumbo Pack DCT,2018.01.01,2019.12.31,,
81617907,PA ABD M6 S4 3x64 JP CEE DCT GYO rev {CS} [81617907] (8001090278036),8001090278036,0,0,0,r,DPR,BSOD,BSOD Jumbo Pack DCT,BSOD Jumbo Pack DCT,2018.01.01,2019.12.31,,
81499612,PA ABD M5P S3 1x150 MB CEE {CS} [81499612] (4015400265191),4015400265191,0,0,0,r,DPR,BSOD,BSOD Megabox,BSOD Megabox,2018.01.01,2019.12.31,,
81499617,PA ABD M5P S4 1x132 MB CEE {CS} [81499617] (4015400265221),4015400265221,0,0,0,r,DPR,BSOD,BSOD Megabox,BSOD Megabox,2018.01.01,2019.12.31,,
81499622,PA ABD M5P S4P 1x120 MB CEE {CS} [81499622] (4015400264965),4015400264965,0,0,0,r,DPR,BSOD,BSOD Megabox,BSOD Megabox,2018.01.01,2019.12.31,,
81499625,PA ABD M5P S5 1x111 MB CEE {CS} [81499625] (4015400265009),4015400265009,0,0,0,r,DPR,BSOD,BSOD Megabox,BSOD Megabox,2018.01.01,2019.12.31,,
81499857,PA ABD M5P S3 1x150 MB CEE GYO {CS} [81499857] (4015400265191),4015400265191,0,0,0,r,DPR,BSOD,BSOD Megabox,BSOD Megabox,2018.01.01,2019.12.31,,
81499861,PA ABD M5P S4 1x132 MB CEE GYO {CS} [81499861] (4015400265221),4015400265221,0,0,0,r,DPR,BSOD,BSOD Megabox,BSOD Megabox,2018.01.01,2019.12.31,,
81499866,PA ABD M5P S4P 1x120 MB CEE GYO {CS} [81499866] (4015400264965),4015400264965,0,0,0,r,DPR,BSOD,BSOD Megabox,BSOD Megabox,2018.01.01,2019.12.31,,
81499870,PA ABD M5P S5 1x111 MB CEE GYO {CS} [81499870] (4015400265009),4015400265009,0,0,0,r,DPR,BSOD,BSOD Megabox,BSOD Megabox,2018.01.01,2019.12.31,,
81555180,PA ABD M6 S3 1x150 MB CEE {CS} [81555180] (4015400775836),4015400775836,0,0,0,r,DPR,BSOD,BSOD Megabox,BSOD Megabox,2018.01.01,2019.12.31,,
81555184,PA ABD M6 S4 1x132 MB CEE {CS} [81555184] (4015400265221),4015400265221,0,0,0,r,DPR,BSOD,BSOD Megabox,BSOD Megabox,2018.01.01,2019.12.31,,
81555186,PA ABD M6 S4P 1x120 MB CEE {CS} [81555186] (4015400264965),4015400264965,0,0,0,r,DPR,BSOD,BSOD Megabox,BSOD Megabox,2018.01.01,2019.12.31,,
81555189,PA ABD M6 S5 1x111 MB CEE {CS} [81555189] (4015400775478),4015400775478,0,0,0,r,DPR,BSOD,BSOD Megabox,BSOD Megabox,2018.01.01,2019.12.31,,
81555268,PA ABD M6 S3 1x150 MB CEE GYO {CS} [81555268] (4015400775836),4015400775836,0,0,0,r,DPR,BSOD,BSOD Megabox,BSOD Megabox,2018.01.01,2019.12.31,,
81555276,PA ABD M6 S4 1x132 MB CEE GYO {CS} [81555276] (4015400265221),4015400265221,0,0,0,r,DPR,BSOD,BSOD Megabox,BSOD Megabox,2018.01.01,2019.12.31,,
81555281,PA ABD M6 S4P 1x120 MB CEE GYO {CS} [81555281] (4015400264965),4015400264965,0,0,0,r,DPR,BSOD,BSOD Megabox,BSOD Megabox,2018.01.01,2019.12.31,,
81555287,PA ABD M6 S5 1x111 MB CEE GYO {CS} [81555287] (4015400775478),4015400775478,0,0,0,r,DPR,BSOD,BSOD Megabox,BSOD Megabox,2018.01.01,2019.12.31,,
81528071,PA NBD M5P S2 1x144 MBM CEE {CS} [81528071] (4015400737179),4015400737179,0,0,0,r,DPR,BSOD,BSOD Minibox,BSOD Minibox,2018.01.01,2019.12.31,,
81528072,PA ABD M5P S3 1x126 MBM CEE {CS} [81528072] (4015400737216),4015400737216,0,0,0,r,DPR,BSOD,BSOD Minibox,BSOD Minibox,2018.01.01,2019.12.31,,
81528073,PA ABD M5P S4 1x106 MBM CEE {CS} [81528073] (4015400737254),4015400737254,0,0,0,r,DPR,BSOD,BSOD Minibox,BSOD Minibox,2018.01.01,2019.12.31,,
81528074,PA ABD M5P S4P 1x96 MBM CEE {CS} [81528074] (4015400737292),4015400737292,0,0,0,r,DPR,BSOD,BSOD Minibox,BSOD Minibox,2018.01.01,2019.12.31,,
81528075,PA ABD M5P S5 1x87 MBM CEE {CS} [81528075] (4015400737339),4015400737339,0,0,0,r,DPR,BSOD,BSOD Minibox,BSOD Minibox,2018.01.01,2019.12.31,,
81530068,PA ABD M5P S3 1x126 MBM CEE GYO {CS} [81530068] (4015400737216),4015400737216,0,0,0,r,DPR,BSOD,BSOD Minibox,BSOD Minibox,2018.01.01,2019.12.31,,
81530069,PA ABD M5P S4 1x106 MBM CEE GYO {CS} [81530069] (4015400737254),4015400737254,0,0,0,r,DPR,BSOD,BSOD Minibox,BSOD Minibox,2018.01.01,2019.12.31,,
81530071,PA ABD M5P S4P 1x96 MBM CEE GYO {CS} [81530071] (4015400737292),4015400737292,0,0,0,r,DPR,BSOD,BSOD Minibox,BSOD Minibox,2018.01.01,2019.12.31,,
81530073,PA ABD M5P S5 1x87 MBM CEE GYO {CS} [81530073] (4015400737339),4015400737339,0,0,0,r,DPR,BSOD,BSOD Minibox,BSOD Minibox,2018.01.01,2019.12.31,,
